id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"SLA xử lý ticket P1 bao gồm:
- Phản hồi ban đầu: 15 phút kể từ khi ticket được tạo.
- Xử lý và khắc phục: 4 giờ. 
- Escalation: Tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút. 
- Thông báo stakeholder: Ngay khi nhận ticket, update mỗi 30 phút cho đến khi resolve. [1]",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Mọi thông tin trong câu trả lời đều chính xác và có trong ngữ cảnh được cung cấp.,5,Trả lời trực tiếp và đầy đủ câu hỏi về SLA xử lý ticket P1.,5,Retrieved: 1/1. Missing: [],4,"Câu trả lời của AI cung cấp thông tin chi tiết về SLA xử lý ticket P1, bao gồm phản hồi ban đầu và thời gian xử lý, nhưng thiếu thông tin về việc thông báo cho stakeholder và escalation, điều này có thể coi là một chi tiết nhỏ nhưng quan trọng.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng, nếu đáp ứng đủ các điều kiện khác [1].",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"Câu trả lời hoàn toàn đúng với ngữ cảnh, thông tin về thời gian yêu cầu hoàn tiền và điều kiện được nêu rõ trong retrieved chunks.",5,Trả lời trực tiếp và đầy đủ câu hỏi về thời gian khách hàng có thể yêu cầu hoàn tiền.,5,Retrieved: 1/1. Missing: [],4,Thiếu thông tin về các điều kiện khác để yêu cầu hoàn tiền.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, yêu cầu phải được phê duyệt bởi Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"Câu trả lời hoàn toàn đúng với ngữ cảnh, thông tin về việc phê duyệt quyền Level 3 được nêu rõ trong retrieved chunks.",5,"Trả lời trực tiếp và đầy đủ câu hỏi, cung cấp thông tin chính xác về ai phải phê duyệt để cấp quyền Level 3.",5,Retrieved: 1/1. Missing: [],5,Câu trả lời của AI đã bao gồm đầy đủ các điểm quan trọng trong câu trả lời kỳ vọng.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, bao gồm license key và subscription, theo các điều kiện ngoại lệ đã nêu. [1]","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"Câu trả lời hoàn toàn đúng với ngữ cảnh, thông tin về sản phẩm kỹ thuật số không được hoàn tiền đã được nêu rõ trong retrieved chunks.",5,Trả lời trực tiếp và đầy đủ câu hỏi về việc hoàn tiền cho sản phẩm kỹ thuật số.,5,Retrieved: 1/1. Missing: [],4,"Câu trả lời của AI đã nêu rõ rằng sản phẩm kỹ thuật số không được hoàn tiền và liệt kê các loại sản phẩm cụ thể, nhưng thiếu phần khẳng định rõ ràng 'Không' ở đầu câu trả lời.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn có thể liên hệ IT Helpdesk hoặc tự reset qua portal SSO. [1]",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"Mọi thông tin trong câu trả lời đều có trong ngữ cảnh, hoàn toàn đúng với thông tin đã cung cấp.",5,Trả lời trực tiếp và đầy đủ câu hỏi về số lần đăng nhập sai dẫn đến việc tài khoản bị khóa.,5,Retrieved: 1/1. Missing: [],5,Câu trả lời của AI đã bao gồm đầy đủ thông tin trong câu trả lời kỳ vọng.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Quy trình escalation trong sự cố P1 diễn ra như sau:

1. On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời.
2. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động.
3. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. [1]",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Mọi thông tin trong câu trả lời đều chính xác và hoàn toàn phù hợp với ngữ cảnh đã cung cấp.,5,Trả lời trực tiếp và đầy đủ về quy trình escalation trong sự cố P1.,5,Retrieved: 1/1. Missing: [],1,Câu trả lời của AI thiếu hoàn toàn thông tin cốt lõi về việc ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút.,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor. [2]",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"Câu trả lời hoàn toàn đúng với ngữ cảnh, thông tin về quy trình cấp phép truy cập và đối tượng áp dụng đều có trong retrieved chunks.",4,"Trả lời đúng về nội dung của tài liệu quy định quy trình cấp phép truy cập, nhưng chưa đề cập cụ thể đến tên tài liệu 'Approval Matrix'.",5,Retrieved: 1/1. Missing: [],1,"Câu trả lời của AI thiếu phần lớn nội dung cốt lõi, không đề cập đến tên mới của tài liệu và không cung cấp thông tin đầy đủ về 'Approval Matrix for System Access'.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal. [1]","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"Mọi thông tin trong câu trả lời đều có trong ngữ cảnh, hoàn toàn đúng với chính sách remote.",5,Trả lời trực tiếp và đầy đủ câu hỏi về số ngày nhân viên được làm remote mỗi tuần.,5,Retrieved: 1/1. Missing: [],5,Câu trả lời của AI đã bao gồm đầy đủ các điểm quan trọng trong câu trả lời kỳ vọng.,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không có đủ dữ liệu để trả lời câu hỏi này.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"Câu trả lời thừa nhận không có đủ thông tin để trả lời, hoàn toàn phù hợp với ngữ cảnh.",5,"Trả lời thừa nhận không có thông tin để trả lời câu hỏi, phù hợp với tiêu chí.",,No expected sources,1,Câu trả lời của AI không đề cập đến thông tin về ERR-403-AUTH và không cung cấp bất kỳ chi tiết nào liên quan đến lỗi xác thực hoặc hướng dẫn liên hệ IT Helpdesk.,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Tôi không có đủ dữ liệu để trả lời câu hỏi này.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"Câu trả lời thừa nhận không có đủ thông tin để trả lời, phù hợp với ngữ cảnh.",5,"Trả lời thừa nhận không có đủ thông tin để trả lời câu hỏi, phù hợp với yêu cầu.",5,Retrieved: 1/1. Missing: [],1,Câu trả lời của AI hoàn toàn thiếu thông tin cốt lõi về chính sách hoàn tiền và quy trình cho khách hàng VIP.,baseline_dense
